loss setting:0.0,key,produce time,receive time client 1,receive time client 2,receive time client 3
,1554671858.43124,1554671858.4756,1554671858.76106,1554671858.58608,1554671858.72053
,1554671858.47576,1554671858.50779,1554671858.76116,1554671858.58618,1554671858.72062
,1554671858.50789,1554671858.53984,1554671858.76124,1554671858.58626,1554671858.72072
,1554671858.53997,1554671858.5719,1554671858.76133,1554671858.58635,1554671858.72081
,1554671858.57202,1554671858.60381,1554671858.76143,1554671858.61608,1554671858.7209
,1554671858.60392,1554671858.63574,1554671858.76153,1554671858.64756,1554671858.72099
,1554671858.63589,1554671858.6677,1554671858.76162,1554671858.67911,1554671858.72108
,1554671858.66784,1554671858.70194,1554671858.76172,1554671858.71069,1554671858.75068
,1554671858.70209,1554671858.74786,1554671858.76181,1554671858.74205,1554671858.75081
,1554671858.74801,1554671858.78024,1554671858.79126,1554671858.7734,1554671858.79877
,1554671858.78036,1554671858.81211,1554671858.83925,1554671858.80735,1554671858.83009
,1554671858.81224,1554671858.84395,1554671858.83945,1554671858.83881,1554671858.86134
,1554671858.84409,1554671858.87935,1554671858.87083,1554671858.87007,1554671858.89539
,1554671858.8795,1554671858.91273,1554671858.90737,1554671858.903,1554671858.94286
,1554671858.91286,1554671858.96598,1554671858.95486,1554671858.95044,1554671858.98204
,1554671858.96613,1554671858.99928,1554671859.11274,1554671858.99149,1554671859.01512
,1554671858.99937,1554671859.03123,1554671859.1442,1554671859.02368,1554671859.04809
,1554671859.03133,1554671859.06361,1554671859.14438,1554671859.05685,1554671859.09327
,1554671859.06371,1554671859.1094,1554671859.14451,1554671859.10081,1554671859.12529
,1554671859.10955,1554671859.14167,1554671859.14463,1554671859.13302,1554671859.15793
,1554671859.1418,1554671859.17407,1554671859.1757,1554671859.1655,1554671859.19004
,1554671859.17418,1554671859.20628,1554671859.20844,1554671859.19764,1554671859.22233
,1554671859.20641,1554671859.23858,1554671859.23994,1554671859.22995,1554671859.25441
,1554671859.2387,1554671859.27068,1554671859.27133,1554671859.26199,1554671859.28659
,1554671859.27083,1554671859.30285,1554671859.30284,1554671859.29423,1554671859.31866
,1554671859.30297,1554671859.33492,1554671859.33456,1554671859.32625,1554671859.35078
,1554671859.33506,1554671859.36711,1554671859.36587,1554671859.35847,1554671859.42591
,1554671859.36722,1554671860.14816,1554671860.14239,1554671861.48631,1554671862.52679
,1554671860.14832,1554671860.59728,1554671860.5919,1554671861.48656,1554671862.52703
,1554671860.59743,1554671860.70084,1554671860.6955,1554671861.48668,1554671862.52716
,1554671860.70099,1554671861.17174,1554671861.16642,1554671861.48679,1554671862.52728
,1554671861.17189,1554671861.47832,1554671861.47305,1554671861.48689,1554671862.52738
,1554671861.47846,1554671861.51461,1554671861.50925,1554671861.57829,1554671862.52748
