message size, message key, sending time, receiving time(remote), forwarding time(remote), receiving time(local),cs delay,c-s-c delay,min(cs),mean(cs),max(cs),min(csc),mean(csc),max(csc)
Question 3,,,,,,,,,,,,,
32,1554185468.13346,1554185468.16537,1554185468.64267,1554185468.67405,1554185469.18375,0.477299928665161,1.01837992668152,0.115999937057495,0.127251801490784,0.185500144958496,,,
32,1554185469.16679,1554185469.19874,1554185469.61945,1554185469.65182,1554185469.65605,0.42071008682251,0.45730996131897,,,,,,
32,1554185470.20008,1554185470.23193,1554185472.61958,1554185472.65166,1554185472.65641,2.38765001296997,2.42447996139526,,,,,,
32,1554185471.23326,1554185471.26526,1554185472.65186,1554185472.6837,1554185472.68851,1.38660001754761,1.42324995994568,,,,,,
32,1554185472.26663,1554185472.29853,1554185472.68387,1554185472.7157,1554185472.72046,0.385339975357056,0.421929836273193,,,,,,
32,1554185473.29991,1554185473.33186,1554185473.61106,1554185473.64279,1554185474.34992,0.279199838638306,1.01805996894836,,,,,,
32,1554185474.33326,1554185474.36517,1554185475.61948,1554185475.65136,1554185475.65615,1.25430989265442,1.29098010063171,,,,,,
32,1554185475.36652,1554185475.39848,1554185475.65149,1554185475.6833,1554185475.68826,0.253010034561157,0.289780139923096,,,,,,
32,1554185476.39985,1554185476.43288,1554185478.61078,1554185478.64254,1554185478.64721,2.17790007591248,2.21432995796204,,,,,,
32,1554185477.43422,1554185477.46616,1554185478.64273,1554185478.67429,1554185478.67903,1.17656993865967,1.21286988258362,,,,,,
32,1554185478.46751,1554185478.49932,1554185478.67446,1554185478.706,1554185478.71078,0.175139904022217,0.211459875106812,,,,,,
32,1554185479.50068,1554185479.53251,1554185481.61947,1554185481.65122,1554185481.65596,2.08695983886719,2.12345004081726,,,,,,
32,1554185480.53385,1554185480.56563,1554185481.65141,1554185481.68304,1554185481.68779,1.08578014373779,1.12215995788574,,,,,,
32,1554185481.56696,1554185481.59879,1554185481.68321,1554185481.71488,1554185481.71967,0.084419965744019,0.120880126953125,,,,,,
32,1554185482.60013,1554185482.63219,1554185483.61095,1554185483.64268,1554185483.65016,0.978760004043579,1.01797008514404,,,,,,
32,1554185483.63363,1554185483.66546,1554185483.66058,1554185483.69233,1554185483.69708,-0.00488018989563,0.031619787216187,,,,,,
32,1554185484.66674,1554185484.69924,1554185484.69384,1554185484.72584,1554185484.73062,-0.005399942398071,0.03137993812561,,,,,,
32,1554185485.70059,1554185485.73255,1554185485.72765,1554185485.75949,1554185485.76429,-0.004899978637695,0.031740188598633,,,,,,
32,1554185486.73391,1554185486.7658,1554185487.61977,1554185487.65149,1554185487.65629,0.853970050811768,0.890490055084229,,,,,,
32,1554185487.76714,1554185487.79891,1554185487.8764,1554185487.90838,1554185487.91328,0.077490091323853,0.114370107650757,,,,,,
32,1554185488.80025,1554185488.83236,1554185488.82741,1554185488.85928,1554185488.86404,-0.004950046539307,0.03167986869812,,,,,,
