message size, message key, receiving time, forwarding time
Question 3,,,
32,1554185570.78786,1554185570.95095,1554185570.99038
32,1554185570.82791,1554185570.99061,1554185571.02232
32,1554185570.86779,1554185571.02261,1554185571.16234
32,1554185570.90764,1554185571.16271,1554185571.19544
32,1554185570.94742,1554185571.19574,1554185571.2282
32,1554185570.98717,1554185571.22851,1554185571.2827
32,1554185571.02731,1554185571.28301,1554185571.32285
32,1554185571.18352,1554185571.32317,1554185571.36272
32,1554185571.22328,1554185571.36302,1554185571.40227
32,1554185571.27953,1554185571.40251,1554185571.44201
32,1554185571.31949,1554185571.44223,1554185571.48188
32,1554185571.35919,1554185571.48222,1554185571.52195
32,1554185571.39913,1554185571.52221,1554185571.56188
32,1554185571.4389,1554185571.56218,1554185571.6017
32,1554185571.47879,1554185571.60201,1554185571.63373
32,1554185571.51859,1554185571.63392,1554185571.66552
32,1554185571.55857,1554185571.66575,1554185571.72154
32,1554185571.59839,1554185571.72181,1554185571.76124
32,1554185571.63833,1554185571.76145,1554185571.793
32,1554185571.67823,1554185571.79317,1554185571.82503
32,1554185571.71819,1554185571.82531,1554185571.88128
